07-10 16:09:23.732 |-INFO  o.h.validator.internal.util.Version:21 - HV000001: Hibernate Validator 6.1.6.Final
07-10 16:09:25.089 |-INFO  c.a.t.g.business.ReportApplication:655 - The following profiles are active: dev
07-10 16:09:29.039 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'accessAuthorityMapper' and 'com.anjiplus.template.gaea.business.modules.accessauthority.dao.AccessAuthorityMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.043 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'dataSetParamMapper' and 'com.anjiplus.template.gaea.business.modules.datasetparam.dao.DataSetParamMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.043 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'dataSourceMapper' and 'com.anjiplus.template.gaea.business.modules.datasource.dao.DataSourceMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.045 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'dataSetMapper' and 'com.anjiplus.template.gaea.business.modules.dataset.dao.DataSetMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.046 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'dataSetTransformMapper' and 'com.anjiplus.template.gaea.business.modules.datasettransform.dao.DataSetTransformMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.047 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'reportDashboardWidgetMapper' and 'com.anjiplus.template.gaea.business.modules.dashboardwidget.dao.ReportDashboardWidgetMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.047 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'reportMapper' and 'com.anjiplus.template.gaea.business.modules.report.dao.ReportMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.048 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'gaeaDictItemMapper' and 'com.anjiplus.template.gaea.business.modules.dict.dao.GaeaDictItemMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.049 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'gaeaDictMapper' and 'com.anjiplus.template.gaea.business.modules.dict.dao.GaeaDictMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.050 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'reportExcelMapper' and 'com.anjiplus.template.gaea.business.modules.reportexcel.dao.ReportExcelMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.050 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'accessRoleMapper' and 'com.anjiplus.template.gaea.business.modules.accessrole.dao.AccessRoleMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.051 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'accessRoleAuthorityMapper' and 'com.anjiplus.template.gaea.business.modules.accessrole.dao.AccessRoleAuthorityMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.052 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'gaeaFileMapper' and 'com.anjiplus.template.gaea.business.modules.file.dao.GaeaFileMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.053 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'reportDashboardMapper' and 'com.anjiplus.template.gaea.business.modules.dashboard.dao.ReportDashboardMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.054 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'reportShareMapper' and 'com.anjiplus.template.gaea.business.modules.reportshare.dao.ReportShareMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.057 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'accessUserMapper' and 'com.anjiplus.template.gaea.business.modules.accessuser.dao.AccessUserMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.064 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'accessUserRoleMapper' and 'com.anjiplus.template.gaea.business.modules.accessuser.dao.AccessUserRoleMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.144 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'accessAuthorityMapper' and 'com.anjiplus.template.gaea.business.modules.accessauthority.dao.AccessAuthorityMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.145 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'dataSetParamMapper' and 'com.anjiplus.template.gaea.business.modules.datasetparam.dao.DataSetParamMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.147 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'dataSourceMapper' and 'com.anjiplus.template.gaea.business.modules.datasource.dao.DataSourceMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.148 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'dataSetMapper' and 'com.anjiplus.template.gaea.business.modules.dataset.dao.DataSetMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.150 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'dataSetTransformMapper' and 'com.anjiplus.template.gaea.business.modules.datasettransform.dao.DataSetTransformMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.150 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'reportDashboardWidgetMapper' and 'com.anjiplus.template.gaea.business.modules.dashboardwidget.dao.ReportDashboardWidgetMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.151 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'reportMapper' and 'com.anjiplus.template.gaea.business.modules.report.dao.ReportMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.152 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'gaeaDictItemMapper' and 'com.anjiplus.template.gaea.business.modules.dict.dao.GaeaDictItemMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.153 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'gaeaDictMapper' and 'com.anjiplus.template.gaea.business.modules.dict.dao.GaeaDictMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.156 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'reportExcelMapper' and 'com.anjiplus.template.gaea.business.modules.reportexcel.dao.ReportExcelMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.157 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'accessRoleMapper' and 'com.anjiplus.template.gaea.business.modules.accessrole.dao.AccessRoleMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.158 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'accessRoleAuthorityMapper' and 'com.anjiplus.template.gaea.business.modules.accessrole.dao.AccessRoleAuthorityMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.159 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'gaeaFileMapper' and 'com.anjiplus.template.gaea.business.modules.file.dao.GaeaFileMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.160 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'reportDashboardMapper' and 'com.anjiplus.template.gaea.business.modules.dashboard.dao.ReportDashboardMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.162 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'reportShareMapper' and 'com.anjiplus.template.gaea.business.modules.reportshare.dao.ReportShareMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.162 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'accessUserMapper' and 'com.anjiplus.template.gaea.business.modules.accessuser.dao.AccessUserMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.163 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'accessUserRoleMapper' and 'com.anjiplus.template.gaea.business.modules.accessuser.dao.AccessUserRoleMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.181 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'accessAuthorityMapper' and 'com.anjiplus.template.gaea.business.modules.accessauthority.dao.AccessAuthorityMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.182 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'dataSetParamMapper' and 'com.anjiplus.template.gaea.business.modules.datasetparam.dao.DataSetParamMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.183 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'dataSourceMapper' and 'com.anjiplus.template.gaea.business.modules.datasource.dao.DataSourceMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.185 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'dataSetMapper' and 'com.anjiplus.template.gaea.business.modules.dataset.dao.DataSetMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.185 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'dataSetTransformMapper' and 'com.anjiplus.template.gaea.business.modules.datasettransform.dao.DataSetTransformMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.186 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'reportDashboardWidgetMapper' and 'com.anjiplus.template.gaea.business.modules.dashboardwidget.dao.ReportDashboardWidgetMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.187 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'reportMapper' and 'com.anjiplus.template.gaea.business.modules.report.dao.ReportMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.192 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'gaeaDictItemMapper' and 'com.anjiplus.template.gaea.business.modules.dict.dao.GaeaDictItemMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.193 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'gaeaDictMapper' and 'com.anjiplus.template.gaea.business.modules.dict.dao.GaeaDictMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.194 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'reportExcelMapper' and 'com.anjiplus.template.gaea.business.modules.reportexcel.dao.ReportExcelMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.195 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'accessRoleMapper' and 'com.anjiplus.template.gaea.business.modules.accessrole.dao.AccessRoleMapper' mapperInterface. Bean already defined with the same name!
07-10 16:09:29.201 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'accessRoleAuthorityMapper' and 'com.anjiplus.template.gaea.business.modules.accessrole.dao.AccessRoleAuthorityMapper' mapperInterface. Bean already defined with the same name!
